2,firefox,png,210,7,1956,131
8,firefox,jpeg,101,10,205,38
14,firefox,avif,338,14,153,285
20,firefox,webp,191,10,183,127
26,firefox,png,209,7,1846,147
32,firefox,jpeg,88,7,208,36
38,firefox,avif,193,8,173,128
44,firefox,webp,186,9,178,128
50,firefox,png,357,23,1978,293
56,firefox,jpeg,175,7,243,116
62,firefox,avif,309,8,192,247
68,firefox,webp,160,8,194,97
74,firefox,png,210,9,1951,158
80,firefox,jpeg,185,10,248,123
86,firefox,avif,184,9,218,119
92,firefox,webp,206,9,225,150
98,firefox,png,215,8,2843,160
104,firefox,jpeg,96,9,343,42
110,firefox,avif,351,18,323,291
116,firefox,webp,93,9,322,35
122,firefox,png,171,12,1541,113
128,firefox,jpeg,170,10,245,104
134,firefox,avif,279,9,221,214
140,firefox,webp,347,12,211,284
146,firefox,png,148,10,1681,98
152,firefox,jpeg,193,10,201,141
158,firefox,avif,170,9,160,116
164,firefox,webp,184,8,163,126
170,firefox,png,195,9,1860,136
176,firefox,jpeg,144,6,210,95
182,firefox,avif,180,9,184,126
188,firefox,webp,349,23,184,293
194,firefox,png,199,6,1712,147
200,firefox,jpeg,176,9,213,122
206,firefox,avif,203,9,167,147
212,firefox,webp,438,10,558,243
218,firefox,png,180,9,2341,124
224,firefox,jpeg,159,9,249,103
230,firefox,avif,187,9,190,125
236,firefox,webp,208,9,206,141
242,firefox,png,338,13,1748,283
248,firefox,jpeg,180,8,197,116
254,firefox,avif,361,24,171,296
260,firefox,webp,197,7,169,133
266,firefox,png,181,8,1694,114
272,firefox,jpeg,101,9,203,43
278,firefox,avif,192,8,157,132
284,firefox,webp,201,8,162,135
290,firefox,png,184,8,1627,129
296,firefox,jpeg,192,9,191,134
302,firefox,avif,259,8,157,191
308,firefox,webp,194,8,161,133
314,firefox,png,205,8,1704,146
320,firefox,jpeg,183,8,199,123
326,firefox,avif,91,9,138,31
332,firefox,webp,182,8,154,123
338,firefox,png,150,8,1761,94
344,firefox,jpeg,272,9,204,224
350,firefox,avif,592,10,384,221
356,firefox,webp,178,9,167,127
362,firefox,png,155,8,3046,84
368,firefox,jpeg,198,8,267,138
374,firefox,avif,295,9,202,230
380,firefox,webp,283,8,202,225
386,firefox,png,195,9,1710,133
392,firefox,jpeg,210,8,213,153
398,firefox,avif,162,8,191,106
404,firefox,webp,188,9,203,126
410,firefox,png,298,8,2147,238
416,firefox,jpeg,168,8,314,104
422,firefox,avif,193,8,230,129
428,firefox,webp,177,7,239,122
434,firefox,png,344,14,2369,288
440,firefox,jpeg,182,8,278,130
446,firefox,avif,332,11,209,281
452,firefox,webp,453,9,260,380
458,firefox,png,339,14,1311,282
464,firefox,jpeg,213,7,184,151
470,firefox,avif,336,11,127,283
476,firefox,webp,362,22,165,296
482,firefox,png,244,9,1828,175
488,firefox,jpeg,216,10,185,152
494,firefox,avif,197,8,148,137
500,firefox,webp,176,8,147,116
506,firefox,png,272,8,1526,212
512,firefox,jpeg,556,181,516,368
518,firefox,avif,272,9,156,213
524,firefox,webp,351,13,154,284
530,firefox,png,126,9,1859,62
536,firefox,jpeg,205,9,227,137
542,firefox,avif,176,8,182,125
548,firefox,webp,173,9,213,110
554,firefox,png,194,8,2075,130
560,firefox,jpeg,190,9,234,123
566,firefox,avif,407,10,169,356
572,firefox,webp,203,8,174,151
578,firefox,png,339,12,2164,285
584,firefox,jpeg,265,10,232,212
590,firefox,avif,277,9,191,210
596,firefox,webp,93,9,184,39
602,firefox,png,96,8,1770,40
608,firefox,jpeg,194,9,214,135
614,firefox,avif,86,9,159,33
620,firefox,webp,191,8,191,130
626,firefox,png,233,9,2172,167
632,firefox,jpeg,104,10,243,41
638,firefox,avif,194,9,186,126
644,firefox,webp,202,8,193,135
650,firefox,png,185,9,2461,120
656,firefox,jpeg,335,12,295,282
662,firefox,avif,219,13,213,157
668,firefox,webp,110,7,208,47
674,firefox,png,209,9,2118,159
680,firefox,jpeg,191,9,279,139
686,firefox,avif,253,8,215,200
692,firefox,webp,283,8,221,221
698,firefox,png,207,9,1908,147
704,firefox,jpeg,219,6,222,154
710,firefox,avif,196,9,177,134
716,firefox,webp,130,9,183,63
722,firefox,png,209,10,2051,142
728,firefox,jpeg,345,17,217,289
734,firefox,avif,334,10,144,280
740,firefox,webp,186,6,183,123
746,firefox,png,251,8,1785,187
752,firefox,jpeg,200,9,217,133
758,firefox,avif,193,8,173,136
764,firefox,webp,192,7,182,129
770,firefox,png,217,8,1195,156
776,firefox,jpeg,313,8,203,254
782,firefox,avif,1036,7,158,975
788,firefox,webp,411,10,174,349
794,firefox,png,346,15,2549,283
800,firefox,jpeg,164,10,215,115
806,firefox,avif,144,10,180,69
812,firefox,webp,222,9,174,156
818,firefox,png,238,8,2120,178
824,firefox,jpeg,342,10,268,282
830,firefox,avif,171,9,225,118
836,firefox,webp,103,9,217,51
842,firefox,png,179,9,1699,124
848,firefox,jpeg,117,8,217,66
854,firefox,avif,353,17,180,290
860,firefox,webp,118,8,180,61
866,firefox,png,121,9,1873,65
872,firefox,jpeg,342,13,184,286
878,firefox,avif,223,8,153,155
889,firefox,png,202,8,2012,148
895,firefox,jpeg,110,8,211,63
901,firefox,avif,112,9,174,69
907,firefox,webp,203,9,182,160
913,firefox,png,144,9,1668,85
919,firefox,jpeg,203,9,176,151
925,firefox,avif,135,10,152,74
931,firefox,webp,229,9,178,181
937,firefox,png,136,14,2075,85
943,firefox,jpeg,117,10,238,73
949,firefox,avif,411,7,176,362
955,firefox,webp,209,10,213,160
961,firefox,png,217,10,1455,164
967,firefox,jpeg,136,9,218,82
973,firefox,avif,203,9,199,156
979,firefox,webp,112,9,188,64
985,firefox,png,126,10,2190,72
991,firefox,jpeg,204,10,254,161
997,firefox,avif,220,9,224,173
1003,firefox,webp,207,8,233,151
1009,firefox,png,200,10,2190,152
1015,firefox,jpeg,205,10,185,153
1021,firefox,avif,113,11,154,74
1027,firefox,webp,195,8,177,137
1033,firefox,png,195,8,2388,153
1039,firefox,jpeg,224,10,278,160
1045,firefox,avif,342,20,224,291
1051,firefox,webp,124,8,254,68
1057,firefox,png,255,8,1611,199
1063,firefox,jpeg,127,8,196,72
1069,firefox,avif,116,9,162,65
1075,firefox,webp,174,6,195,125
1081,firefox,png,110,8,1871,60
1087,firefox,jpeg,88,7,226,40
1093,firefox,avif,111,9,177,65
1099,firefox,webp,126,8,175,86
1105,firefox,png,101,8,1611,46
1111,firefox,jpeg,139,8,220,73
1117,firefox,avif,127,8,148,85
1123,firefox,webp,207,9,157,162
1129,firefox,png,198,9,2166,146
1135,firefox,jpeg,226,10,245,171
1141,firefox,avif,510,11,195,471
1147,firefox,webp,228,9,208,167
1153,firefox,png,170,9,1873,127
1159,firefox,jpeg,211,10,219,147
1165,firefox,avif,220,8,191,163
1171,firefox,webp,162,9,191,109
1177,firefox,png,116,7,2123,61
1183,firefox,jpeg,122,7,184,74
1189,firefox,avif,121,9,147,64
1195,firefox,webp,193,7,170,145
1201,firefox,png,204,9,1896,153
1207,firefox,jpeg,108,8,224,48
1212,firefox,avif,130,10,163,74
1218,firefox,webp,106,8,171,62
1224,firefox,png,223,9,2147,158
1230,firefox,jpeg,210,10,216,157
1236,firefox,avif,211,7,183,169
1242,firefox,webp,103,5,209,55
1248,firefox,png,197,8,2555,154
1254,firefox,jpeg,201,10,257,150
1260,firefox,avif,136,9,255,90
1266,firefox,webp,328,12,244,285
1272,firefox,png,206,7,1827,144
1278,firefox,jpeg,206,8,210,162
1284,firefox,avif,207,8,160,153
1290,firefox,webp,184,9,183,139
1296,firefox,png,223,8,1950,174
1302,firefox,jpeg,106,9,214,59
1308,firefox,avif,214,9,168,167
1314,firefox,webp,204,8,180,161
1320,firefox,png,124,9,2281,73
1326,firefox,jpeg,200,10,252,143
1332,firefox,avif,122,9,187,69
1338,firefox,webp,108,6,187,62
1344,firefox,png,263,8,1530,209
1349,firefox,jpeg,120,8,195,73
1355,firefox,avif,248,9,156,199
1361,firefox,webp,110,6,159,64
1367,firefox,png,236,10,2163,175
1373,firefox,jpeg,159,8,214,93
1379,firefox,avif,75,9,152,32
1385,firefox,webp,346,25,176,293
1391,firefox,png,179,9,2986,128
1397,firefox,jpeg,112,9,334,56
1403,firefox,avif,111,9,317,65
1409,firefox,webp,214,9,351,158
1415,firefox,png,235,9,1431,185
1421,firefox,jpeg,332,12,179,284
1427,firefox,avif,199,8,164,147
1433,firefox,webp,107,8,167,62
1439,firefox,png,335,13,2067,287
1445,firefox,jpeg,255,9,195,199
1451,firefox,avif,340,20,138,288
1457,firefox,webp,222,10,159,169
1463,firefox,png,117,9,1775,69
1469,firefox,jpeg,201,10,255,162
1475,firefox,avif,156,9,223,105
1481,firefox,webp,235,9,211,182
1487,firefox,png,332,10,1713,274
1493,firefox,jpeg,212,9,200,163
1499,firefox,avif,199,7,161,155
1505,firefox,webp,131,9,150,79
1511,firefox,png,256,9,1837,211
1517,firefox,jpeg,103,10,212,58
1523,firefox,avif,452,12,143,398
1529,firefox,webp,193,9,171,137
1535,firefox,png,247,10,2057,199
1541,firefox,jpeg,112,8,190,62
1547,firefox,avif,205,7,641,32
1553,firefox,webp,115,7,168,58
